iso_code,Country,total_cases,total_cases_per_million,Average Increasing rate(valid data),ratio of Total_cases to Lasting time,Death rate,Average Temperature-May,Average Temperature-April,Average Temperature-April&May,Population density (people per sq. km of land area),GDP per capita (constant 2010 US$),Current health expenditure(% of GDP),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Adjusted savings: education expenditure (% of GNI),Urban population (% of total population),People using at least basic sanitation services (% of population),"Physicians (per 1,000 people)",Haq index
THA,Thailand,3034,43.467,0.062671099,0.350540323,0.018457482,18.63076923,14.945,16.78788462,135.8972068,6361.62499,3.746016324,66.81800079,0.754000008,4.186884031,49.949,98.75073461,0.8075,52.4
TJK,Tajikistan,1729,181.282,0.182573835,8.63247619,0.023713129,18.63076923,14.945,16.78788462,65.57271417,1073.021835,7.228814811,37.39099884,11.0170002,3.767460989,27.134,97.02306222,,48.7
TTO,Trinidad and Tobago,116,82.887,0.047970222,1.1841,0.068965517,30.8,32.78076923,31.79038462,270.9274854,15161.06846,6.978735328,58.34700012,2.686000109,2.87,53.184,93.39890595,3.3646,51.6
TUN,Tunisia,1044,88.335,0.078833665,1.193716216,0.045019157,23.56538462,17.89333333,20.72935897,74.44132338,4401.05719,7.232457399,38.73400116,16.02199936,5.9,68.945,90.92139742,1.3025,53
TUR,Turkey,151615,1797.684,0.128558094,26.0533913,0.027695149,14.7025641,11.88222222,13.29239316,106.9601289,15068.98238,4.216302931,45.70199966,13.48999977,3.798198118,75.143,97.29723396,1.8492,51.3
UKR,Ukraine,18876,431.612,0.119077115,6.255246377,0.029031574,23.03846154,23.4675,23.25298077,77.02966735,3110.194646,6.99532032,49.3409996,8.881999969,5.13311277,69.352,96.22435599,,62.8
URY,Uruguay,738,212.452,0.05737806,3.124294118,0.027100271,15.34038462,18.88166667,17.11102564,19.70802765,14617.464,9.2962116,58.43099976,8.730999947,4.982662612,95.334,96.59619234,5.0794,60.8
USA,United States,1528568,4617.993,0.107947085,37.54465854,0.060135369,13.75406953,9.807211617,11.78064057,35.71362209,54659.19827,17.06126928,59.76499939,3.681999922,4.39509544,82.256,99.97001877,2.612,73.7
UZB,Uzbekistan,2880,86.049,0.082537721,1.284313433,0.004513889,21.41282051,16.33222222,18.87252137,77.46920545,2366.2852,6.41438514,61.20999908,5.916999817,9.3747642,50.478,100,,51.9
VEN,Venezuela,749,26.34,0.055653372,0.387352941,0.013351135,31.38461538,31.04137931,31.21299735,32.73079191,,1.181210112,54.47299957,8.800999641,6.54,88.208,93.93501902,,53.1
ZAF,South Africa,17200,290.008,0.12334359,3.815894737,0.018139535,15.47637363,16.58004926,16.02821144,47.63011978,7433.615398,8.113118261,40.23099899,28.18099976,6.045343854,66.355,75.7470984,0.9054,45.6
ZMB,Zambia,772,41.993,0.076249035,0.656140625,0.009067358,24.13333333,27.7,25.91666667,23.3414789,1672.345428,4.47034128,66.09100342,11.42500019,3.531194698,43.521,26.37011849,,37.4
